interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_short_name,location_type,lmp
2022-01-01T09:40:00-05:00,2022-01-01 14:40:00+00:00,2022-01-01T09:45:00-05:00,2022-01-01 14:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.147213
2022-01-01T09:45:00-05:00,2022-01-01 14:45:00+00:00,2022-01-01T09:50:00-05:00,2022-01-01 14:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.121403
2022-01-01T09:50:00-05:00,2022-01-01 14:50:00+00:00,2022-01-01T09:55:00-05:00,2022-01-01 14:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.288123
2022-01-01T09:55:00-05:00,2022-01-01 14:55:00+00:00,2022-01-01T10:00:00-05:00,2022-01-01 15:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.850431
2022-01-01T10:00:00-05:00,2022-01-01 15:00:00+00:00,2022-01-01T10:05:00-05:00,2022-01-01 15:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,21.858262
2022-01-01T10:05:00-05:00,2022-01-01 15:05:00+00:00,2022-01-01T10:10:00-05:00,2022-01-01 15:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,21.98386
2022-01-01T10:10:00-05:00,2022-01-01 15:10:00+00:00,2022-01-01T10:15:00-05:00,2022-01-01 15:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,22.446829
2022-01-01T10:15:00-05:00,2022-01-01 15:15:00+00:00,2022-01-01T10:20:00-05:00,2022-01-01 15:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,22.299621
2022-01-01T10:20:00-05:00,2022-01-01 15:20:00+00:00,2022-01-01T10:25:00-05:00,2022-01-01 15:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,22.849458
2022-01-01T10:25:00-05:00,2022-01-01 15:25:00+00:00,2022-01-01T10:30:00-05:00,2022-01-01 15:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,23.088381
2022-01-01T10:30:00-05:00,2022-01-01 15:30:00+00:00,2022-01-01T10:35:00-05:00,2022-01-01 15:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,22.589789
2022-01-01T10:35:00-05:00,2022-01-01 15:35:00+00:00,2022-01-01T10:40:00-05:00,2022-01-01 15:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,22.498436
2022-01-01T10:40:00-05:00,2022-01-01 15:40:00+00:00,2022-01-01T10:45:00-05:00,2022-01-01 15:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,22.521569
2022-01-01T10:45:00-05:00,2022-01-01 15:45:00+00:00,2022-01-01T10:50:00-05:00,2022-01-01 15:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,22.9027
2022-01-01T10:50:00-05:00,2022-01-01 15:50:00+00:00,2022-01-01T10:55:00-05:00,2022-01-01 15:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,23.378706
2022-01-01T10:55:00-05:00,2022-01-01 15:55:00+00:00,2022-01-01T11:00:00-05:00,2022-01-01 16:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,23.688274
2022-01-01T11:00:00-05:00,2022-01-01 16:00:00+00:00,2022-01-01T11:05:00-05:00,2022-01-01 16:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,23.712488
